"Име на продукт",Наличност,"Стара цена",Цена,Стойност
CM.522/CYMA/,"не се следи",145.67,145.67,"не се следи"
"CM.028 Gen-2/CYMA/","не се следи",171.28,171.28,"не се следи"
"Топчета Specna Arms CORE™ 0.30г  - 1 кг ",8,13.24,13.24,105.92
"Топчета Specna Arms CORE™ 0.28г  - 1 кг ",10,12.22,12.22,122.2
"Green gas Smart Gas™ - 1000 мл ",14,13.75,13.75,192.5
"Релса &quot;Picatinny&quot; - 4 слота за Keyмod монтаж",0,5.06,5.06,0
"CM.513 Gen-2 - Tan/CYMA/","не се следи",132.93,132.93,"не се следи"
"Компактен &quot;Hand Stop&quot; (Black)",3,8.13,8.13,24.39
"Компактен &quot;Hand Stop&quot; (Tan)",1,8.13,8.13,8.13
"Модулен джоб 7.62/.308 MAG (Green)",3,10.17,10.17,30.51
"Модулен джоб 7.62/.308 MAG (Multicam)",4,10.17,10.17,40.68
"Модулен джоб 7.62/.308 MAG (Coyote)",2,10.17,10.17,20.34
"Панел BUCKLE UP TRIPLE 5.56 MAG (Green)",1,10.17,10.17,10.17
"Панел BUCKLE UP TRIPLE  MAG (Green)",1,10.69,10.69,10.69
"Панел BUCKLE UP TRIPLE  MAG (Coyote)",2,10.69,10.69,21.38
"Панел BUCKLE UP TRIPLE  MAG (Multicam)",1,10.69,10.69,10.69
"Панел BUCKLE UP TRIPLE 7.62/.308 MAG (Coyote)",1,10.69,10.69,10.69
"Батерия Li-Po 11,1V 1100MAH (IPower)",2,21.93,21.93,43.86
"Батерия Li-Po 11,1V 1100MAH (IPower)",4,21.93,21.93,87.72
"Батерия Li-Po 7,4 V 1100MAH (IPower)",3,15.80,15.80,47.4
"Батерия Li-Po 7,4 V 1200MAH (IPower)",2,19.38,19.38,38.76
"Батерия Li-Po 11,1 V 1200MAH (IPower)",1,29.09,29.09,29.09
"Тактически колан Combat (Coyote)",1,22.96,22.96,22.96
"Тактически колан Combat (Green)",3,22.96,22.96,68.88
"Тактически колан Combat (Multicam Tropic)",1,22.96,22.96,22.96
"Зарядно IMAX B3 10W за LiPo Батерии",10,10.17,10.17,101.7
"Пълнител за M4 Mid-Cap 150 (Черeн)",1,11.20,11.20,11.2
"Пълнител за M4/AR15 Mid-Cap 150 ",2,11.71,11.71,23.42
"Каишка за ремък (Coyote)",5,2.55,2.55,12.75
"Каишка за ремък (Army Green)",7,2.55,2.55,17.85
"Каишка за ремък (Black)",4,2.55,2.55,10.2
"Колан (Black)",5,5.11,5.11,25.55
"Колан (Khaki)",2,5.11,5.11,10.22
"Колан (Army Green)",4,5.11,5.11,20.44
"Каска за Еърсофт - SPEC-OPS MICH (Black)",1,35.74,35.74,35.74
"Дръжка KeyMod (Black)",1,12.22,12.22,12.22
"Спийдлоудър 470 топчета /Черен/",0,8.64,8.64,0
"Био Топчета Specna Arms CORE™ 0.28г BIO  - 1 кг ",5,16.31,16.31,81.55
"Био Топчета Specna Arms CORE™ 0.30г BIO - 1 кг ",0,16.82,16.82,0
"Био Топчета Specna Arms CORE™ 0.28г BIO - 3000 броя ",0,14.27,14.27,0
"Газова бутилка  Smart Gas™ (CO2)",0,0.76,0.76,0
"Защитна торбичка за Li-Po батерии (10х20см)(IPower)",2,8.64,8.64,17.28
"Защитна торбичка за Li-Po батерии (18х23см) (IPower)",3,9.15,9.15,27.45
"Защитна торбичка за Li-Po батерии(23х30см)(IPower)",3,9.66,9.66,28.98
"Еърсофт очила PANORAMIC (Black)",0,18.87,18.87,0
"Еърсофт очила PANORAMIC (Tan)",0,18.87,18.87,0
"Еърсофт очила PANORAMIC (Green)",0,18.87,18.87,0
"Батерия Li-Po 7,4 V 1100MAH (IPower)",1,15.80,15.80,15.8
"Батерия Li-Po 7,4 V 1200MAH (IPower)",3,19.38,19.38,58.14
"Батерия Li-Po 11,1V 1100MAH (IPower)",3,21.93,21.93,65.79
"Батерия Li-Po 7,4 V 1450MAH (IPower)",2,21.93,21.93,43.86
"Чантичка с цип (Green)",4,9.15,9.15,36.6
"Чантичка с цип (Coyote)",1,9.15,9.15,9.15
"Чантичка с цип (Multicam)",2,9.15,9.15,18.3
"Чантичка с цип (Black)",2,9.15,9.15,18.3
"Комплект &quot;Start 2&quot; на звукова граната THUNDER B SONIC ","не се следи",35.27,35.27,"не се следи"
"Радиостанция Baofeng UV-82 8W","не се следи",38.30,38.30,"не се следи"
