"Име на продукт",Наличност,"Стара цена",Цена,Стойност
"CM.048S GEN-2 /CYMA/",0,268.42,268.42,0
"Тактически колан Combat (Black)",1,22.96,22.96,22.96
"Батерия CR123A",5,4.34,4.34,21.7
"Радиостанция Baofeng UV-16 Plus - 15W",3,48.52,48.52,145.56
"Топчета за Еърсофт 0.20г /BLS/ - 1 кг ",2,11.75,11.75,23.5
"USB кабел за зарядно Baofeng",1,5.06,5.06,5.06
"Капак за АКS",1,21.98,21.98,21.98
"Чантичка с капак за граната (Black)",4,8.69,8.69,34.76
"Тактически фенер V300C Mini Scout Switch - Black",1,49.08,49.08,49.08
"Тактически фенер V300C Mini Scout Switch  - Dark Earth",0,49.08,49.08,0
"Скоби за ремък",1,7.66,7.66,7.66
"Пистолет Eagle","не се следи",230.08,230.08,"не се следи"
"Монтажна планка за Key-Mod с антабка",13,8.64,8.64,112.32
"Монтажна планка за Key-Mod с антабка /Dark Earth/",6,8.64,8.64,51.84
"Пълнител за M4/AR15 Mid-Cap 210 /EMG/",14,17.84,17.84,249.76
"Тактическо компактно фенерче  Fast 302 /Opsmen/",1,51.12,30.67,30.67
"Тактическа раница 15 л. (Multicam) ",3,33.18,33.18,99.54
"Пистолет R615  TTI Sand Viper /Army Armament/",1,168.68,168.68,168.68
"Пълнител за R615 TTI Sand Viper Green gas (Army Armament)",1,30.63,30.63,30.63
"Армейска раница 40 л. (Multicam) ",1,76.64,76.64,76.64
"Армейска раница 40 л. (Multicam Tropic) ",1,76.64,76.64,76.64
"Армейска раница 40 л. (Green) ",1,76.64,76.64,76.64
"Армейска раница 40 л. (Coyote) ",1,76.64,76.64,76.64
"Армейска раница 40 л. (Black) ","не се следи",76.64,76.64,"не се следи"
"Бързомер HSW X (PCS)",1,63.86,63.86,63.86
"Фотографски услуги","не се следи",0.00,0.00,"не се следи"
"Тактически фенер V600 - Black",2,56.24,46.01,92.02
"Комплект Зарядно с Li-ion Батерия 123/16340",5,10.22,10.22,51.1
"Акумулаторна Li-ion Батерия 123/16340",3,5.11,5.11,15.33
"Лента за маркиране на отбор","не се следи",2.55,2.55,"не се следи"
"Адаптивен твърд кобур &quot;Khaki&quot; ",0,30.63,30.63,0
"Релса &quot;Picatinny&quot; - 54 mm за Keyмod монтаж",4,8.13,8.13,32.52
"Релса &quot;Picatinny&quot; - 93 mm за Keyмod монтаж",2,11.20,11.20,22.4
"Релса &quot;Picatinny&quot; - 124 mm за Keyмod монтаж",6,12.22,12.22,73.32
"Топчета за Еърсофт 0.25г /BLS/ - 1 кг ",1,12.78,12.78,12.78
"Калъф за каска  Fast Ballistic (Black",3,13.24,13.24,39.72
"Топчета за Еърсофт 0.30г /BLS/ - 1 кг ",1,16.87,16.87,16.87
"Пач &quot;Знаме Гърция&quot;",3,2.55,2.55,7.65
"Пач &quot;Знаме Русия&quot;",15,2.55,2.55,38.25
"Пач &quot;Знаме Румъния&quot;",2,2.55,2.55,5.1
"Пач &quot;Знаме Турция&quot;",12,2.55,2.55,30.6
"Пач &quot;Знаме Сърбия&quot;",1,2.55,2.55,2.55
"Пач &quot;Българско знаме&quot; Multicam",15,2.55,2.55,38.25
"Батерия Li-Po 11,1 V 1450MAH (IPower)",2,30.63,30.63,61.26
"Батерия Li-Po 11,1 V 1450MAH (IPower)",2,30.63,30.63,61.26
"Батерия Li-Po 11,1 V 1450MAH (IPower)",2,30.63,30.63,61.26
"Фенер с USB зареждане",1,20.45,20.45,20.45
"Ергономична дръжка M-LOCK | ASWARRIOR ",4,9.15,8.13,32.52
"Газова бутилка  &quot;UMAREX&quot; (CO2)",0,0.85,0.85,0
"Тактически очила ITEK Anti-fog Yellow",5,10.17,10.17,50.85
"Пълнител за VSS Mid-Cap 150 (Черeн)",3,20.40,20.40,61.2
"Еърсофт очила FMA  (Dark Earth)",0,24.03,24.03,0
"Вертикална дръжка M-LOCK | Aswarrior",2,9.15,8.13,16.26
"Радиостанция Baofeng UV-5RH 15W","не се следи",48.52,48.52,"не се следи"
"Фенер със стойка за цев","не се следи",20.45,20.45,"не се следи"
"Комплект тапи за M-LOK",4,3.06,3.06,12.24
"Халка за M4/AR15",11,5.11,5.11,56.21
"Green gas ","не се следи",6.37,6.37,"не се следи"
"TTI TR-1 - JOHN WICK 2 /EMG/",0,408.98,408.98,0
"Пълнител Taran Tactical за M4/AR15 Mid-Cap 220 /EMG/",21,30.63,30.63,643.23
"Мини пистолетен Бързомер RMR /Red Dot/",2,56.19,56.19,112.38
"Батерия Li-Po 11,1 V 1450MAH (IPower)",2,30.63,30.63,61.26
"Защитно стъкло за бързомер 28-30mm",5,9.66,9.66,48.3
"2 броя Спийдлоудъри 100 топчета /BLS/",1,10.22,10.22,10.22
"Джоб за пълнители за пистолет (Black)",3,6.08,6.08,18.24
"Джоб за пълнители за пистолет (MUlticam)",4,6.08,6.08,24.32
"Джоб за пълнители за пистолет (Coyote)",9,6.08,6.08,54.72
"Джоб за пълнители за пистолет (MUlticam Tropic)",1,6.08,6.08,6.08
"Адаптери М13  FLUX/ARC /Earmor/",1,28.12,23.00,23
"Green gas Predator Ultra /Abbey/ - 700мл",1,15.80,13.24,13.24
"Tактическа жилетка &quot;Reaper&quot; (Ranger Green)",3,122.70,122.70,368.1
"Tактическа жилетка &quot;Reaper&quot; (Black)",3,122.70,122.70,368.1
"Tактическа жилетка &quot;Reaper&quot; (Coyote)",3,122.70,122.70,368.1
"Шапка с козирка (Multicam Black)",3,7.62,7.62,22.86
"Предпазител за мини бързомер RMR",2,11.71,11.71,23.42
"Минималистичен Пач &quot;Българско знаме&quot;",6,2.55,2.55,15.3
"Джоб за пълнител AK (Multicam Black)",2,8.13,8.13,16.26
"Чантичка за пълнители (Multicam Black)",3,11.71,11.71,35.13
"CM.045 Gen-2 /CYMA/","не се следи",204.51,204.51,"не се следи"
"Пач &quot;ASWARRIOR&quot;","не се следи",2.55,2.55,"не се следи"
"Пач  &quot;ASWARRIOR&quot;","не се следи",2.55,2.55,"не се следи"
"Пач &quot;ASWARRIOR&quot;","не се следи",2.55,2.55,"не се следи"
"Балаклава (Multicam Black)",3,7.66,7.66,22.98
"Балаклава (Black)",5,7.66,7.66,38.3
"Балаклава (Green)",3,7.66,7.66,22.98
"Балаклава (Multicam)",4,7.66,7.66,30.64
"Балаклава (Multicam Tropic)",4,7.66,7.66,30.64
"Универсална голяма чантичка (Multicam)",1,10.17,10.17,10.17
"Универсална голяма чантичка (Black)",1,10.17,10.17,10.17
"Зарядно IPOWER 25W за LiPo/LiFe/NiMH  Батерии",1,33.18,33.18,33.18
"Тактически колан Combat (Multicam Black)",0,22.96,22.96,0
"Спийдлоудъри 100 топчета /BLS/",6,6.64,6.64,39.84
"Функционална раница 15 л. (Multicam Black) ",3,28.07,28.07,84.21
"Портативно зарядно за UV-5R","не се следи",7.62,7.62,"не се следи"
"Портативно зарядно за UV-82",1,7.62,7.62,7.62
"Балаклава (Russian Digital)",3,7.66,7.66,22.98
"Мини фенерче с USB зареждане","не се следи",5.11,5.11,"не се следи"
"Антифони EARMOR M32 SE (Green)",0,125.22,107.32,0
"Балистични очила Capstone Anti-fog Clear",4,19.38,19.38,77.52
"Джоб за пълнители за пистолет (MUlticam Black)",6,6.08,6.08,36.48
"Балистични очила Isotope Clear",3,28.63,28.63,85.89
"Антена Baofeng BF-701 ",5,5.06,5.06,25.3
"Портативно зарядно за UV-82/ без кабел/",1,5.06,5.06,5.06
"Антифони EARMOR M32 (Grey)",1,125.22,107.32,107.32
"Въздушна система против изпотяване на очила ",0,28.07,28.07,0
"Акустична слушалка за радиостанция Baofeng UV82",4,7.66,7.66,30.64
"Аларма за  Li-Po Батерии",5,8.18,8.18,40.9
"Фенер за пистолет",0,23.00,23.00,0
"CM.048 GEN-2 /CYMA/","не се следи",268.42,268.42,"не се следи"
"Монтажна планка за Mlock / KeyMod с антабка",17,8.13,8.13,138.21
"Монтаж за SVD","не се следи",59.26,59.26,"не се следи"
"Тактически ръкавици (Tan)",2,18.99,12.50,25
"Тактически ръкавици (Green)",0,18.99,12.50,0
"Тактически ръкавици (Black)",0,18.99,12.50,0
"Алкална батерия LR44",15,0.55,0.55,8.25
"M-LOK Монтажна планка за дистанционен бутон","не се следи",3.00,3.00,"не се следи"
"PVC Пач ",8,2.55,2.55,20.4
"Пач &quot;Знаме Украйна&quot;",9,2.55,2.55,22.95
"CM.070 - Metal/CYMA/",0,279.90,279.90,0
"CM.048SU - Metal, Wood/CYMA/","не се следи",265.87,265.87,"не се следи"
"CM.515 /CYMA/",0,163.56,163.56,0
"Монтаж с релса &quot;Picatinny&quot;  под 30°/5 слота",4,13.80,13.80,55.2
"Пистолет R601 - JW3 COMBAT MASTER /Army Armament/",2,163.57,163.57,327.14
"Балаклава с протектор (Black)",4,12.77,12.77,51.08
"Бързомер HSW В (PCS)",1,69.01,69.01,69.01
"Топчета за Еърсофт 0.32г /BLS/ - 1 кг ",3,17.89,17.89,53.67
"Топчета за Еърсофт 0.23г /BLS/ - 1 кг ",2,12.27,12.27,24.54
"Универсален двустранен  кобур (Multicam Black)",2,10.69,10.69,21.38
"Тактически фенер V600 -  Dark Earth",1,56.24,46.01,46.01
"Моментен дистанционен бутон /WADSN/",3,19.42,19.42,58.26
"Преходник Small Tamiya към T-Connector  ",3,5.11,5.11,15.33
"Антифони EARMOR M32 Plus (Green)",2,139.99,119.99,239.98
"Антифони EARMOR M32 Plus (Black)",2,139.99,119.99,239.98
"Антифони EARMOR M32 Plus (Tan)",1,139.99,119.99,119.99
"Полимерен пистолетен Бързомер /Specna Arms/",0,29.99,29.99,0
"Повдигач 31 мм с два болта/ 3 слота",2,10.73,10.73,21.46
"Комплект  предпазни стъкла",3,4.09,4.09,12.27
"Балистични очила Isotope Gray",4,28.63,28.63,114.52
"CM.520 Gen-2 /CYMA/","не се следи",138.04,138.04,"не се следи"
"CM.522 Gen-2 /CYMA/","не се следи",127.82,127.82,"не се следи"
"CM.518 Gen-2 /CYMA/","не се следи",153.38,153.38,"не се следи"
"CM.507 Gen-2 /CYMA/","не се следи",132.93,132.93,"не се следи"
"CM.508 Gen-2 /CYMA/","не се следи",140.60,140.80,"не се следи"
"CM.028U Gen-2 /CYMA/","не се следи",181.50,181.50,"не се следи"
"CM.028C Gen-2 /CYMA/","не се следи",171.28,171.28,"не се следи"
"CM.045А Gen-2 /CYMA/","не се следи",245.41,245.41,"не се следи"
"PVC Пач &quot;Българско знаме&quot;",4,3.00,3.00,12
"Доставка Еконт","не се следи",0.00,0.00,"не се следи"
